temperature_c,rainfall_mm,humidity_percent,solar_radiation_w_m2,soil_nutrients_index,soil_moisture_percent,soil_ph,organic_matter_percent,electrical_conductivity_ds_m,soil_type,area_type,crop_yield_ton_per_hectare
20.79,1451.89,77.04,172.65,22.39,42.88,6.92,2.85,2.38,clay,hilly,1.54
32.35,393.38,32.02,270.66,37.61,33.4,6.84,5.14,1.22,sandy,arid,1.42
20.72,1326.55,59.26,227.41,95.21,39.16,5.99,2.08,1.3,chalk,hilly,2.71
28.51,2085.14,79.34,225.23,55.25,39.91,7.18,1.82,2.08,sandy,tropical,1.58
18.45,1495.63,81.78,209.55,35.22,14.22,6.07,2.86,1.31,sandy,hilly,1.3
34.52,1726.82,80.81,198.37,48.31,39.97,6.5,5.14,1.66,sandy,tropical,1.58
28.97,2169.94,83.77,237.37,31.31,24.41,5.55,2.86,1.12,chalk,riverine,1.42
19.93,1655.57,78.95,234.36,76.95,35.0,6.0,2.72,1.5,sandy,hilly,2.39
25.98,717.29,76.59,253.83,72.41,68.69,7.43,3.73,0.12,chalk,inland,2.22
25.84,689.34,58.97,235.94,60.55,30.56,6.75,2.66,0.65,loam,inland,1.98
27.24,1593.47,84.82,230.76,80.15,34.17,8.22,3.16,0.2,peat,tropical,2.36
26.6,831.13,48.97,297.59,47.49,42.56,7.45,3.1,1.74,clay,inland,1.62
27.79,2012.2,81.35,207.34,48.73,25.32,7.8,0.84,1.04,peat,riverine,1.8
18.04,936.51,50.14,225.02,44.03,21.2,6.57,5.03,0.48,silt,hilly,1.56
24.07,1945.22,68.91,179.85,46.38,17.46,5.67,5.83,1.19,peat,hilly,1.51
36.43,396.56,52.21,289.57,105.14,25.05,7.86,5.0,0.46,silt,arid,2.1
32.83,2238.16,80.41,217.44,93.46,30.31,6.88,1.86,0.31,peat,tropical,3.9
31.09,1249.06,58.11,280.04,74.88,7.88,5.95,3.12,1.11,loam,inland,1.34
28.85,1986.15,70.63,182.41,59.79,26.97,7.01,5.87,0.99,silt,riverine,1.9
29.51,2204.45,94.15,189.04,46.58,17.27,5.75,4.06,1.8,sandy,tropical,1.55
30.47,519.52,62.86,176.58,50.97,47.56,5.52,2.43,0.89,clay,inland,1.3
39.49,282.66,39.18,328.98,50.36,8.34,5.25,4.46,0.74,loam,arid,0.5
18.91,895.42,52.3,216.51,74.25,31.15,5.88,4.57,0.65,sandy,hilly,1.7
18.94,1922.11,70.49,220.09,47.01,33.16,8.5,3.11,0.96,loam,hilly,2.36
29.78,2108.57,76.16,213.03,34.5,45.18,6.39,1.1,1.54,loam,riverine,1.29
30.5,1903.22,57.38,133.66,67.04,45.84,5.73,2.73,2.26,chalk,coastal,2.4
28.19,2471.93,80.21,295.75,10.0,53.19,6.6,4.39,0.8,chalk,tropical,2.64
29.21,505.12,72.24,201.49,57.15,37.66,5.88,3.9,1.2,clay,inland,1.62
33.01,2008.31,89.37,242.04,37.7,37.15,6.68,3.12,1.77,clay,coastal,2.7
29.97,2074.03,73.08,247.47,93.62,10.93,4.78,1.69,0.79,sandy,tropical,1.68
26.48,1068.1,57.38,215.35,35.71,40.98,5.41,4.8,0.94,chalk,inland,1.58
33.98,148.91,25.97,255.9,28.96,17.78,7.26,3.44,0.87,chalk,arid,0.5
29.6,2062.79,75.61,252.96,50.83,42.82,7.51,2.59,1.53,sandy,tropical,2.28
25.63,796.53,72.98,225.31,58.53,21.33,7.85,4.44,1.1,sandy,inland,1.18
18.7,1606.28,77.4,168.48,39.08,39.51,5.81,3.83,1.68,loam,hilly,1.74
30.36,1967.48,85.54,218.19,60.82,31.9,6.88,2.36,0.95,clay,tropical,2.4
26.09,1387.82,55.01,294.7,81.37,47.59,5.92,3.53,1.06,sandy,inland,2.72
25.94,1644.15,74.93,179.61,78.69,30.42,6.41,3.96,1.04,clay,riverine,2.63
15.99,1728.89,64.92,178.43,47.83,7.65,6.82,3.66,0.98,clay,hilly,2.13
17.33,937.6,63.71,193.84,54.7,38.7,7.1,5.76,1.35,loam,hilly,2.12
25.12,1922.53,73.53,191.07,68.39,42.91,7.44,3.32,0.68,chalk,coastal,2.78
26.68,897.63,68.67,197.12,63.03,25.09,6.89,1.94,1.17,peat,inland,1.24
32.62,1701.52,83.08,175.07,68.52,44.36,5.82,3.91,0.35,peat,coastal,2.13
26.98,1526.87,81.34,253.7,86.56,38.85,7.91,1.86,0.2,loam,riverine,2.2
28.18,1590.94,75.51,131.62,31.72,38.58,6.4,5.77,1.09,clay,coastal,2.57
32.31,2.12,44.6,328.69,24.58,45.53,6.64,2.62,2.0,peat,arid,0.7
29.83,1471.35,61.65,257.82,48.27,25.12,7.49,2.03,1.59,loam,coastal,1.41
35.55,2053.83,90.18,227.69,34.01,15.09,6.38,3.96,1.17,loam,coastal,1.68
32.83,454.66,34.42,334.49,44.82,21.88,7.89,5.23,1.12,loam,arid,1.34
33.43,214.05,32.98,314.7,81.07,12.14,7.64,4.18,1.79,silt,arid,1.75
28.75,3038.76,82.41,233.82,101.37,39.75,6.55,3.66,0.86,chalk,tropical,3.64
25.97,2032.04,52.48,212.37,63.51,33.5,7.28,6.11,0.1,loam,coastal,2.11
23.13,1101.8,73.89,214.76,95.36,56.43,5.29,2.77,2.18,sandy,hilly,2.37
32.86,267.5,34.2,267.82,50.82,43.2,6.55,3.4,1.14,chalk,arid,1.76
32.84,1027.97,58.69,248.68,26.26,40.87,6.6,3.62,0.56,chalk,inland,1.21
32.66,1113.19,78.61,196.05,83.58,31.54,5.57,4.22,1.89,silt,tropical,2.02
32.26,2379.6,77.52,256.38,40.38,38.03,6.68,3.02,1.48,sandy,tropical,1.27
29.22,2459.06,80.68,174.71,53.52,34.52,6.21,3.27,1.24,loam,coastal,2.08
24.81,1753.16,61.67,244.89,75.88,38.39,5.19,3.58,1.29,chalk,riverine,2.74
21.45,926.75,69.65,278.78,95.53,19.97,6.49,5.01,0.16,peat,hilly,2.39
25.45,1047.16,73.62,158.17,26.61,39.13,5.56,4.6,0.87,loam,riverine,1.9
27.82,1232.45,83.24,217.4,34.56,19.5,5.65,2.98,1.97,clay,riverine,1.49
31.36,73.18,38.09,302.81,48.19,33.04,5.55,3.19,1.82,clay,arid,0.97
19.85,662.21,41.32,213.37,68.24,14.46,6.37,3.77,1.37,loam,inland,0.86
27.27,1538.04,62.48,233.47,72.11,5.0,7.05,2.49,0.71,loam,coastal,2.36
22.08,1757.44,86.42,212.15,35.13,45.85,5.97,2.69,1.87,peat,hilly,2.52
24.96,1552.25,78.52,235.12,52.74,31.99,5.18,3.11,0.67,silt,coastal,1.65
25.31,2146.64,63.27,158.6,75.65,23.46,7.45,3.73,1.85,silt,coastal,2.18
31.71,1654.13,75.6,218.16,68.51,13.76,4.5,2.3,1.31,peat,tropical,2.26
27.41,1530.96,77.76,233.41,50.49,32.46,5.62,3.05,2.1,clay,riverine,1.33
23.94,1036.94,78.16,204.68,53.66,26.02,6.71,3.43,1.48,clay,inland,1.96
31.17,613.67,50.69,188.52,57.06,35.12,5.96,2.0,0.95,loam,inland,1.2
23.7,1004.3,68.3,287.31,42.67,29.88,6.77,3.21,0.1,peat,inland,1.36
17.58,390.62,63.23,270.24,43.14,44.43,6.14,3.62,1.28,loam,inland,0.81
37.91,288.73,22.74,266.13,33.83,41.56,5.92,7.19,1.19,silt,arid,0.98
34.41,73.8,25.16,296.04,52.88,38.29,6.5,4.33,1.47,peat,arid,1.33
24.95,891.3,63.38,192.19,96.01,36.77,6.06,4.32,2.92,clay,inland,2.74
20.22,1042.87,68.87,217.87,43.8,46.4,7.69,2.88,0.96,clay,hilly,1.64
35.52,128.76,23.82,350.92,49.54,36.91,5.79,3.08,1.02,clay,arid,1.34
36.91,225.15,46.66,294.61,96.47,28.15,7.72,3.91,1.07,clay,arid,1.88
29.13,1408.94,94.67,205.06,45.72,11.83,8.49,2.04,1.06,silt,hilly,1.23
21.13,910.01,68.43,250.62,52.38,52.49,7.1,2.66,0.61,peat,inland,1.63
26.25,1905.75,81.28,192.02,57.08,32.84,4.5,3.91,0.44,silt,coastal,2.09
33.76,129.92,38.63,267.21,60.05,35.46,6.76,3.79,2.37,clay,arid,1.38
28.7,2255.0,81.73,209.98,39.02,21.3,6.05,4.16,1.95,chalk,coastal,2.54
24.07,1808.35,71.29,221.03,77.55,29.35,7.22,0.75,0.76,sandy,coastal,2.16
20.44,1359.57,63.14,212.7,81.21,33.5,7.53,2.53,0.86,loam,hilly,2.14
32.15,956.5,59.16,291.17,74.53,24.67,6.3,3.41,1.78,loam,inland,2.04
26.23,2281.45,84.39,128.12,81.36,30.82,6.04,2.92,1.29,clay,riverine,2.81
29.21,1556.86,82.9,155.35,64.42,18.2,8.46,2.45,1.06,peat,coastal,2.18
25.73,849.45,55.3,290.32,83.73,54.33,6.02,4.8,1.69,loam,inland,2.6
38.44,2125.49,90.59,286.91,73.08,31.37,7.72,3.18,0.97,loam,tropical,3.26
34.27,2048.84,84.6,206.5,40.99,39.01,6.66,4.65,0.85,sandy,riverine,1.47
24.15,2211.97,73.66,150.01,47.22,38.42,6.62,2.57,0.6,silt,riverine,2.29
31.58,1619.67,80.8,177.08,67.32,50.25,6.66,3.35,1.25,silt,riverine,2.54
29.46,821.21,62.16,274.9,82.64,33.51,6.73,2.53,1.51,sandy,inland,2.24
19.78,1251.18,70.14,188.98,80.59,33.25,5.06,1.97,1.41,clay,hilly,1.8
9.27,1516.08,78.79,145.59,46.5,21.46,5.26,4.03,1.46,clay,hilly,1.53
31.95,2325.85,89.68,250.19,38.22,14.92,8.0,3.34,2.33,peat,tropical,2.01
19.09,1502.08,68.66,164.98,60.35,31.32,4.93,4.75,1.15,chalk,hilly,1.88
24.51,1047.77,58.98,231.87,81.19,5.0,6.62,2.65,1.55,peat,inland,1.92
27.26,1369.72,79.32,223.23,16.55,41.72,7.63,1.07,1.25,silt,riverine,1.29
26.6,596.01,70.28,218.3,85.84,53.25,6.33,2.96,1.15,loam,inland,2.76
27.1,2313.07,64.42,184.79,30.42,37.77,7.14,2.97,1.22,sandy,riverine,2.02
26.25,754.79,42.13,251.85,75.28,29.08,6.12,1.99,1.71,silt,inland,1.51
11.2,2262.36,78.81,173.97,68.92,45.18,7.47,2.34,0.52,peat,hilly,3.16
24.77,421.88,76.32,255.84,101.38,35.35,5.07,3.76,1.63,clay,inland,1.84
28.55,205.63,42.16,319.58,63.45,45.96,6.77,3.31,1.22,loam,arid,1.52
28.7,1757.32,59.74,283.48,61.32,39.93,6.55,5.37,1.09,chalk,riverine,2.27
25.96,1856.01,91.3,216.95,60.03,8.03,5.9,2.37,0.34,peat,riverine,1.92
34.41,2578.21,92.72,261.59,50.19,31.97,6.54,3.28,1.11,silt,tropical,1.57
32.75,191.6,53.16,293.87,98.28,5.0,4.91,5.22,1.57,peat,arid,1.78
29.86,719.64,55.39,257.04,78.11,34.12,6.47,2.72,1.55,peat,inland,2.68
18.26,1281.0,67.06,222.27,62.22,47.48,6.34,5.51,1.1,sandy,hilly,2.64
28.51,2016.12,93.63,259.27,51.37,36.46,5.79,2.91,2.29,clay,tropical,1.78
39.31,283.61,33.84,353.59,59.97,41.13,7.17,2.81,1.55,peat,arid,1.74
20.68,1159.39,75.56,189.86,61.98,32.34,6.0,5.45,1.21,clay,inland,2.17
17.44,1586.56,74.76,233.26,37.53,27.15,6.44,4.05,1.97,clay,hilly,1.71
21.54,688.78,79.17,283.63,62.5,20.5,5.86,5.61,1.26,peat,inland,1.12
28.84,1701.77,77.62,236.67,81.25,39.45,4.5,3.05,1.62,chalk,riverine,3.66
37.32,262.45,22.25,253.32,59.02,33.47,7.55,1.13,0.72,chalk,arid,0.6
37.27,298.71,32.19,248.11,53.15,9.3,7.5,2.16,1.31,loam,arid,1.16
34.01,1693.17,76.99,234.59,16.78,54.91,6.81,2.71,0.69,clay,tropical,2.21
15.23,1025.17,71.92,238.82,67.49,39.87,6.91,6.3,1.47,loam,hilly,2.63
35.37,2033.77,93.55,245.1,36.12,30.56,5.14,4.26,2.09,loam,coastal,2.15
30.84,895.1,64.07,267.01,16.18,48.09,6.33,3.91,0.87,loam,inland,1.09
20.45,1387.88,77.6,188.59,47.39,33.96,5.86,1.24,1.73,clay,hilly,1.76
29.3,1710.45,90.61,269.56,45.38,30.8,5.18,3.55,2.62,sandy,coastal,1.64
17.73,1407.69,66.84,204.93,80.18,18.24,5.76,4.69,2.2,peat,hilly,1.95
17.62,1037.52,43.46,227.07,41.83,48.57,6.01,3.02,0.73,silt,inland,2.34
28.52,1422.93,58.34,267.28,63.82,53.04,6.25,1.7,1.3,chalk,inland,1.98
26.6,1821.2,73.57,247.76,53.63,56.04,7.66,3.14,1.95,chalk,tropical,2.43
29.77,388.71,28.08,291.56,74.46,39.61,7.62,3.55,0.69,silt,arid,2.26
31.06,98.09,18.72,216.98,58.37,19.86,6.52,4.36,0.78,clay,arid,1.56
33.48,369.63,30.0,254.87,83.45,22.62,5.54,3.4,0.95,chalk,arid,1.57
27.56,1847.94,74.05,272.76,48.71,24.82,6.72,2.14,1.48,silt,tropical,1.94
39.16,218.01,18.77,264.47,58.15,39.38,6.53,4.96,1.91,silt,arid,1.44
19.42,1020.2,69.93,211.88,70.6,30.45,6.29,4.68,1.09,chalk,hilly,1.64
33.18,247.6,25.4,273.78,69.34,42.61,6.22,5.06,0.1,clay,arid,1.53
33.75,185.0,35.09,260.63,38.34,14.23,7.24,3.68,1.14,peat,arid,1.05
22.5,1589.7,87.11,161.98,48.82,50.45,8.48,1.75,0.51,clay,riverine,1.94
31.53,1338.29,37.24,300.29,47.58,16.74,4.63,2.74,1.89,loam,inland,0.94
25.84,2221.36,92.47,253.19,57.86,24.72,6.09,2.11,0.84,silt,tropical,1.8
31.6,2404.01,100.0,218.88,95.24,24.41,5.05,2.64,1.49,peat,tropical,3.26
38.97,97.63,22.88,312.63,73.52,32.65,7.41,2.52,0.55,chalk,arid,1.51
29.88,1975.23,74.79,198.56,40.04,53.36,6.55,2.04,0.1,clay,riverine,1.97
25.46,1922.72,80.19,264.93,81.0,44.6,6.43,1.35,0.1,silt,coastal,2.92
20.32,1997.71,46.49,210.89,46.75,61.03,6.09,4.0,0.74,silt,inland,1.95
33.36,250.01,41.19,322.53,40.57,48.33,7.66,3.24,1.85,chalk,arid,1.18
29.95,2398.6,84.94,168.56,92.17,40.91,6.53,3.75,1.02,sandy,coastal,3.13
18.46,1288.82,68.11,237.97,86.64,58.52,5.96,2.9,0.54,peat,hilly,2.0
29.3,1649.55,87.55,239.96,80.1,36.43,6.18,6.89,1.61,loam,riverine,2.02
22.88,1282.33,81.27,205.84,73.96,25.75,6.72,3.15,1.0,clay,riverine,1.42
29.07,777.27,69.89,249.74,42.85,33.21,6.52,2.56,0.15,loam,inland,0.5
28.79,1876.19,75.73,261.2,57.0,38.17,6.86,2.63,1.8,chalk,riverine,2.42
29.2,3113.42,65.46,202.17,80.86,35.72,5.54,5.03,1.55,clay,tropical,2.84
28.71,1184.15,69.67,253.4,59.72,59.45,6.56,4.82,0.43,silt,coastal,2.37
33.28,338.35,49.16,317.4,36.35,23.0,4.97,3.16,1.21,clay,arid,0.98
24.94,1748.3,74.45,225.7,97.98,34.36,7.01,4.4,0.66,silt,coastal,2.66
28.75,2050.42,87.11,151.71,39.42,45.23,7.25,3.4,1.89,clay,tropical,1.88
22.43,1261.66,51.22,149.84,36.48,36.31,7.11,1.83,1.63,sandy,hilly,1.32
29.23,1687.66,90.23,276.4,73.83,52.26,5.99,2.44,0.56,peat,coastal,1.99
29.24,240.08,49.0,270.12,45.78,20.95,6.42,3.58,1.53,chalk,arid,2.11
33.27,1755.22,78.61,222.83,65.69,46.24,6.07,3.29,0.29,silt,coastal,2.73
27.6,2066.87,71.19,214.78,77.71,30.56,5.33,2.81,0.86,sandy,riverine,2.98
20.55,1602.14,81.59,200.22,81.93,37.89,6.68,4.01,1.81,silt,hilly,2.61
29.37,2462.07,82.85,222.88,67.23,38.73,5.14,3.66,0.72,clay,coastal,3.91
18.32,1953.56,58.12,215.12,34.8,51.38,8.5,2.6,1.52,clay,hilly,2.69
20.74,1643.88,79.15,184.72,87.73,20.1,6.96,3.89,1.77,peat,hilly,2.03
22.85,504.78,60.57,290.91,51.24,32.87,4.63,2.37,1.01,silt,inland,0.78
23.0,403.98,50.46,269.73,94.84,40.15,5.56,0.51,1.95,clay,inland,2.42
33.97,317.27,42.73,335.47,62.81,38.52,6.85,3.6,0.66,sandy,arid,2.48
30.88,461.46,35.07,321.79,99.29,32.6,6.49,2.93,1.7,peat,arid,1.88
34.19,323.34,29.94,277.39,29.52,36.85,7.62,3.17,0.73,silt,arid,0.69
21.3,1840.47,83.23,188.65,39.98,28.2,6.66,2.77,1.99,silt,hilly,1.84
23.56,1618.72,70.64,205.94,17.34,17.97,7.13,2.76,0.8,sandy,hilly,1.0
25.88,1044.67,39.66,189.17,64.04,40.28,6.37,2.54,1.37,sandy,inland,1.8
24.89,2051.97,81.29,214.04,16.43,29.14,5.4,6.18,0.74,loam,riverine,1.43
25.13,1342.78,74.28,189.08,77.31,50.91,6.03,5.51,1.58,sandy,hilly,2.53
24.8,1361.62,57.47,259.51,79.94,26.35,7.7,2.33,1.56,chalk,inland,1.85
27.95,1783.34,79.99,177.73,62.99,46.68,6.65,4.41,0.55,peat,coastal,2.04
29.65,240.25,32.77,324.56,41.78,46.65,6.14,1.86,0.26,loam,arid,2.38
37.93,120.74,24.5,288.96,40.16,35.86,6.05,3.77,1.53,clay,arid,1.41
28.71,2037.65,87.58,251.47,58.52,37.79,5.84,2.49,1.23,chalk,tropical,2.27
29.0,1497.16,72.0,190.72,10.0,11.19,7.36,3.3,1.07,loam,riverine,0.55
24.75,946.59,59.35,227.45,63.88,61.74,6.14,2.97,1.64,sandy,inland,2.41
29.99,1734.31,70.31,263.3,77.75,16.72,6.9,3.39,1.39,silt,tropical,2.31
33.78,258.87,37.47,294.51,51.62,36.5,6.85,4.1,1.79,silt,arid,1.11
30.89,2973.14,89.1,214.88,41.35,26.91,6.98,2.48,1.59,chalk,tropical,2.37
22.72,2193.32,79.82,241.34,45.4,45.28,6.14,5.66,0.65,clay,coastal,2.24
28.29,1694.73,81.25,252.26,74.44,41.67,6.2,5.07,0.1,clay,tropical,2.51
34.14,2126.08,77.54,109.11,68.51,44.28,7.61,3.02,1.23,peat,coastal,2.56
35.02,267.55,23.75,321.61,92.4,25.86,8.5,2.63,0.96,sandy,arid,1.85
25.25,2178.71,71.33,183.86,65.02,30.93,7.15,3.03,1.53,silt,hilly,2.42
30.93,669.27,62.18,203.23,54.56,25.97,6.03,1.99,3.2,peat,inland,1.77
33.4,1704.34,87.12,242.62,75.29,17.42,6.06,0.5,1.36,clay,tropical,1.78
28.74,1569.73,80.64,238.58,52.82,31.27,7.19,0.5,1.72,clay,riverine,1.27
26.57,1953.71,87.54,185.23,83.84,34.1,7.43,3.81,0.37,chalk,coastal,2.04
25.03,1380.48,76.23,166.39,25.45,18.17,6.0,2.58,1.65,chalk,riverine,1.28
34.41,461.05,36.27,373.09,70.27,35.96,7.21,3.46,1.94,chalk,arid,1.75
22.37,1162.39,64.55,132.25,38.24,40.49,6.03,2.22,0.5,clay,riverine,2.07
27.3,1191.12,60.57,199.8,89.01,22.69,5.78,4.2,1.35,chalk,riverine,2.4
34.11,289.06,33.41,319.95,95.32,39.04,8.27,2.29,1.81,loam,arid,1.91
16.25,1146.48,82.53,249.35,77.75,29.86,6.08,4.91,0.63,loam,hilly,2.87
22.99,1803.74,70.81,179.76,62.7,46.63,6.3,2.99,0.78,sandy,riverine,2.0
27.7,1820.34,74.47,198.97,51.84,32.61,7.25,3.27,1.27,sandy,riverine,2.31
23.66,2204.53,77.33,182.19,51.8,28.73,5.99,2.39,1.2,silt,riverine,2.34
33.8,211.5,27.1,269.16,34.71,11.05,6.14,3.32,1.65,clay,arid,0.99
24.02,1202.3,78.4,199.66,67.15,55.81,5.83,3.31,0.8,peat,riverine,1.93
42.18,327.92,37.68,289.05,79.35,26.66,6.8,6.46,0.93,chalk,arid,2.48
18.73,989.15,58.08,167.31,64.59,30.64,5.17,3.06,1.28,peat,hilly,1.52
27.55,239.98,18.81,310.65,28.66,28.64,8.0,2.77,1.41,peat,arid,1.56
26.46,2409.61,80.18,176.19,76.36,8.91,5.92,4.85,2.15,loam,riverine,2.45
23.93,2398.62,66.05,193.24,30.93,37.31,7.62,2.29,0.67,silt,coastal,1.74
25.84,1677.71,90.01,214.86,66.05,28.13,7.01,2.69,1.61,loam,riverine,2.26
30.21,1957.33,80.51,268.32,54.5,19.5,6.51,2.42,0.78,peat,tropical,1.64
28.45,1748.3,87.78,220.45,106.44,14.6,5.77,3.53,1.42,silt,tropical,3.29
26.04,2291.26,71.96,215.33,86.88,29.03,5.8,3.39,0.73,peat,coastal,2.91
28.96,1732.0,77.53,230.22,80.51,36.55,6.86,4.53,0.98,clay,tropical,2.2
29.67,1297.5,93.63,190.05,59.05,41.32,4.75,3.55,1.85,clay,riverine,2.66
37.48,78.75,28.34,292.26,44.7,44.44,4.9,6.65,0.97,loam,arid,1.0
24.4,1960.61,82.51,188.75,94.35,37.93,6.81,4.16,1.32,loam,riverine,2.09
24.55,2313.43,80.64,223.01,63.5,54.97,6.6,2.72,1.72,silt,tropical,2.15
28.26,1648.1,86.78,228.23,78.97,44.48,5.57,4.25,1.97,silt,tropical,2.99
39.52,534.55,41.63,378.99,57.55,29.4,6.82,3.71,0.98,clay,arid,1.66
32.11,1818.64,93.11,234.46,59.69,53.99,6.85,3.73,1.68,loam,tropical,1.61
43.73,189.02,44.32,300.19,29.57,22.42,5.5,4.14,1.34,clay,arid,0.5
15.73,1187.2,45.97,198.02,88.25,27.94,6.11,3.07,1.27,clay,hilly,2.59
28.56,725.97,53.06,183.16,41.49,22.97,7.18,4.28,1.74,sandy,riverine,1.34
20.41,1150.67,71.55,182.42,60.61,58.41,6.19,2.84,1.21,silt,hilly,2.24
25.81,2360.42,82.47,226.79,44.22,29.33,5.25,5.05,0.41,sandy,tropical,2.24
12.49,1308.65,60.91,183.16,56.04,50.6,8.5,1.37,0.51,clay,hilly,2.72
27.39,1824.54,77.16,270.18,59.41,13.14,7.87,3.62,0.81,clay,tropical,2.15
17.06,1528.1,60.75,177.99,68.44,29.43,4.96,3.63,0.28,chalk,hilly,2.34
28.02,2448.32,76.92,233.46,59.28,39.4,5.35,4.14,1.53,sandy,tropical,2.15
24.03,854.43,57.79,227.92,89.81,53.5,5.92,4.68,1.5,sandy,inland,2.54
21.14,1427.08,78.88,230.24,95.06,42.72,5.0,5.0,1.65,loam,riverine,2.19
23.39,1256.86,68.79,200.83,93.72,34.85,5.43,2.33,1.53,silt,coastal,2.12
20.22,1688.02,85.41,186.07,43.75,31.4,6.54,4.93,2.01,loam,riverine,1.58
19.17,1590.38,67.99,179.62,43.74,45.54,6.85,4.6,2.19,sandy,hilly,2.03
31.45,239.75,41.33,298.53,101.49,41.75,6.86,3.11,1.34,sandy,arid,2.96
30.47,1705.71,72.9,266.19,51.2,5.0,5.32,2.91,2.66,loam,coastal,1.8
27.16,2336.25,81.56,217.24,31.69,25.39,6.68,2.24,0.1,peat,tropical,2.39
24.56,1777.66,76.0,273.54,30.72,27.18,5.76,3.68,1.15,silt,coastal,1.67
34.46,53.55,37.0,342.37,60.8,40.19,8.0,4.73,0.48,loam,arid,2.41
34.2,283.78,15.58,332.79,48.18,16.05,7.93,3.42,1.09,clay,arid,0.96
24.38,1112.25,72.52,211.56,19.25,27.06,6.59,3.35,0.1,loam,riverine,1.98
27.6,2303.63,69.11,242.16,91.6,39.34,7.88,2.31,0.48,loam,tropical,2.75
24.15,1543.27,87.75,216.32,74.02,40.3,8.5,1.87,1.34,loam,riverine,2.28
20.19,1127.46,66.54,179.36,56.45,30.31,6.62,4.95,1.11,clay,hilly,2.04
11.44,1591.73,56.66,188.0,80.09,40.72,6.02,3.77,1.02,chalk,hilly,2.06
26.46,669.88,45.99,267.97,78.56,39.68,5.29,3.4,0.38,loam,inland,1.84
22.24,1275.72,77.57,202.76,62.52,33.94,5.53,3.45,1.48,sandy,riverine,2.32
